"Seletores";"Cargo";"UF";"Qt VotosVálidos";"Qt Vagas  QE";"QE";"Legenda";"Qt VotosVálidos QP";"Qt VagasQP";"Qt VagasMédia";
"";"";"";"7.673.438";"46";"166.814";"PHS / PTN";"142.844";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"PRP / PRTB / PPL";"174.062";"1";"0"
"Subtotal";"";"";"130.448.446";"782";"2.835.838";"";"7.673.438";"40";"6"
"";"";"RN";"1.580.871";"8";"197.609";"PTC / PRTB";"5.867";"0";"0"
"";"";"";"1.580.871";"8";"197.609";"PSTU";"12.551";"0";"0"
"";"";"";"1.580.871";"8";"197.609";"PMDB / PR / PSB / PROS / PDT / SD / PSC / DEM / PV / PMN / PRP / PSDB / PSDC / PRB";"1.085.296";"5";"1"
"";"";"";"1.580.871";"8";"197.609";"PSD / PT / PC do B / PT do B / PP / PEN";"422.591";"2";"0"
"";"";"";"1.580.871";"8";"197.609";"PSL";"7.619";"0";"0"
"";"";"";"1.580.871";"8";"197.609";"PHS / PPS / PTB / PTN";"34.626";"0";"0"
"";"";"";"1.580.871";"8";"197.609";"PSOL";"12.321";"0";"0"
"Subtotal";"";"";"11.066.097";"56";"1.383.263";"";"1.580.871";"7";"1"
"";"";"RO";"798.475";"8";"99.809";"PSOL / PSTU";"7.074";"0";"0"
"";"";"";"798.475";"8";"99.809";"PT";"90.970";"0";"0"
"";"";"";"798.475";"8";"99.809";"PP / PR / PPS / PTC / PV / PROS";"111.726";"1";"0"
"";"";"";"798.475";"8";"99.809";"PMDB / PRTB / PC do B / PDT / PRP / PSB / PTB / PSL / PTN";"404.643";"4";"1"
"";"";"";"798.475";"8";"99.809";"PSDB / PSDC / PSD / PEN / SD / PHS / PSC / PMN / PT do B / PRB / DEM";"184.062";"1";"1"
"Subtotal";"";"";"3.992.375";"40";"499.045";"";"798.475";"6";"2"
"";"";"RR";"238.099";"8";"29.762";"PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS";"51.987";"1";"1"
"";"";"";"238.099";"8";"29.762";"PP / PTB / DEM";"20.363";"0";"0"
"";"";"";"238.099";"8";"29.762";"PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN";"129.106";"4";"1"
"";"";"";"238.099";"8";"29.762";"PSTU / PSOL";"650";"0";"0"
"";"";"";"238.099";"8";"29.762";"PT / PDT / PV / PTC / PC do B";"35.993";"1";"0"
"Subtotal";"";"";"1.190.495";"40";"148.810";"";"238.099";"6";"2"
"";"";"RS";"5.942.063";"31";"191.679";"PDT / PSC / PV / PEN / DEM";"719.685";"3";"1"
"";"";"";"5.942.063";"31";"191.679";"PCB";"2.445";"0";"0"
"";"";"";"5.942.063";"31";"191.679";"PSOL / PSTU";"88.054";"0";"0"
"";"";"";"5.942.063";"31";"191.679";"PSB / PPS / PSD / PT do B / PHS / PSL / PSDC";"638.265";"3";"0"
"";"";"";"5.942.063";"31";"191.679";"PT";"1.385.264";"7";"0"
"";"";"";"5.942.063";"31";"191.679";"PRTB";"4.249";"0";"0"
"";"";"";"5.942.063";"31";"191.679";"PP / PRB / SD / PSDB";"1.409.505";"7";"1"
"";"";"";"5.942.063";"31";"191.679";"PMDB";"981.415";"5";"0"
"";"";"";"5.942.063";"31";"191.679";"PRP";"3.764";"0";"0"
"";"";"";"5.942.063";"31";"191.679";"PMN";"3.507";"0";"0"
"";"";"";"5.942.063";"31";"191.679";"PTB / PC do B / PR / PPL / PROS / PTC";"705.910";"3";"1"
"Subtotal";"";"";"65.362.693";"341";"2.108.469";"";"5.942.063";"28";"3"
"";"";"SC";"3.376.535";"16";"211.033";"PPL / PMN";"8.294";"0";"0"
"";"";"";"3.376.535";"16";"211.033";"PT do B / PSL / PTN";"27.042";"0";"0"
"";"";"";"3.376.535";"16";"211.033";"PP / PPS / PRTB / PHS / PSDB / PEN / SD / PTC / PSB";"935.843";"4";"1"
"";"";"";"3.376.535";"16";"211.033";"PSOL";"38.271";"0";"0"
"";"";"";"3.376.535";"16";"211.033";"PCB";"1.740";"0";"0"
"";"";"";"3.376.535";"16";"211.033";"PSTU";"8.530";"0";"0"
"";"";"";"3.376.535";"16";"211.033";"PRP";"10.785";"0";"0"
"";"";"";"3.376.535";"16";"211.033";"PT";"488.347";"2";"0"
"";"";"";"3.376.535";"16";"211.033";"PSD / PC do B / PV / PMDB / PR / PTB / PSC / PSDC / PROS / PRB / PDT / DEM";"1.857.683";"8";"1"
"Subtotal";"";"";"30.388.815";"144";"1.899.297";"";"3.376.535";"14";"2"
"";"";"SE";"1.052.826";"8";"131.603";"PPL";"1.077";"0";"0"
"";"";"";"1.052.826";"8";"131.603";"PRTB";"3.113";"0";"0"
"";"";"";"1.052.826";"8";"131.603";"PTN";"0";"0";"0"
"";"";"";"1.052.826";"8";"131.603";"PT / PDT / PSB / PMDB / PC do B / PRP / PROS / PSD / PRB / PSDC";"567.680";"4";"1"
"";"";"";"1.052.826";"8";"131.603";"PSOL / PSTU / PCB";"25.820";"0";"0"
"";"";"";"1.052.826";"8";"131.603";"PMN";"3.646";"0";"0"
"";"";"";"1.052.826";"8";"131.603";"PP / PTB / PSL / PSC / PR / PPS / DEM / PHS / PTC / PV / PSDB / PEN / PT do B / SD";"451.490";"3";"0"
"Subtotal";"";"";"7.369.782";"56";"921.221";"";"1.052.826";"7";"1"
"";"";"SP";"21.266.194";"70";"303.803";"PTB";"701.693";"2";"0"
"";"";"";"21.266.194";"70";"303.803";"PSOL / PSTU";"462.992";"1";"0"
"";"";"";"21.266.194";"70";"303.803";"PSDC";"30.083";"0";"0"
"";"";"";"21.266.194";"70";"303.803";"PRB";"2.241.552";"7";"1"
"";"";"";"21.266.194";"70";"303.803";"PCO";"5.343";"0";"0"
"";"";"";"21.266.194";"70";"303.803";"PV";"955.373";"3";"0"
"";"";"";"21.266.194";"70";"303.803";"PCB";"10.853";"0";"0"
"";"";"";"21.266.194";"70";"303.803";"PPL";"25.138";"0";"0"
"";"";"";"21.266.194";"70";"303.803";"PSDB / DEM / PPS";"5.537.630";"18";"2"
"";"";"";"21.266.194";"70";"303.803";"PHS / PRP";"252.205";"0";"0"
"";"";"";"21.266.194";"70";"303.803";"PMDB / PROS / PP / PSD";"2.635.036";"8";"1"
"";"";"";"21.266.194";"70";"303.803";"PDT";"454.473";"1";"0"
"";"";"";"21.266.194";"70";"303.803";"PSL / PTN / PMN / PTC / PT do B";"350.882";"1";"0"
"";"";"";"21.266.194";"70";"303.803";"SD";"501.003";"1";"0"
"";"";"";"21.266.194";"70";"303.803";"PR";"1.701.667";"5";"1"
"";"";"";"21.266.194";"70";"303.803";"PEN";"176.184";"0";"0"
"";"";"";"21.266.194";"70";"303.803";"PRTB";"33.397";"0";"0"
