Nome,Nome para Urna,Numero,Partido,Coligação,Situação,Votação,% Válidos,Sexo,Estado Civil,Ocupacao,Cor/Raça,Data Nasc.,Idade,Instrucao,Bens,UF,foto
EZEQUIEL ANGELO FONSECA,EZEQUIEL FONSECA,1111,PP,PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB,Eleito por média,90.888,"6,25",MASCULINO,Casado(a),Deputado,Parda,28/10/1963,54,Superior completo,"140367,56",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000438.jpg
FABIO PAULINO GARCIA,FABIO GARCIA,4010,PSB,PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB,Eleito por QP,104.976,"7,22",MASCULINO,Casado(a),Empresário,Branca,29/06/1977,40,Superior completo,"3492232,86",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000401.jpg
NILSON APARECIDO LEITAO,NILSON LEITÃO,4500,PSDB,PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB,Eleito por QP,127.749,"8,78",MASCULINO,Casado(a),Deputado,Branca,25/02/1969,48,Ensino Médio completo,"674440,77",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000017.jpg
VICTORIO GALLI FILHO,PROFESSOR VICTÓRIO GALLI,2020,PSC,PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB,Eleito por média,64.691,"4,45",MASCULINO,Casado(a),Professor de Ensino Superior,Branca,30/04/1961,56,Superior completo,"0,00",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000023.jpg
ROGERIO SILVA SANTOS,ROGÉRIO SILVA,9000,PROS,PT / PMDB / PROS / PR,Suplente,16.116,"1,11",MASCULINO,Solteiro(a),Advogado,Parda,17/09/1978,39,Superior completo,"170748,66",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000313.jpg
SAGUAS MORAES SOUSA,SÁGUAS MORAES,1313,PT,PT / PMDB / PROS / PR,Eleito por QP,97.858,"6,73",MASCULINO,Casado(a),Deputado,Branca,11/04/1963,54,Superior completo,"546599,24",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000297.jpg
VALTENIR LUIZ PEREIRA,VALTENIR PEREIRA,9090,PROS,PT / PMDB / PROS / PR,Eleito por média,62.923,"4,33",MASCULINO,Divorciado(a),Deputado,Parda,24/11/1971,46,Superior completo,"245191,60",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000315.jpg
JOSE AUGUSTO DA SILVA CURVO,JOSÉ AUGUSTO CURVO - TAMPINHA,1212,PDT,PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB,Suplente,34.109,"2,34",MASCULINO,Casado(a),Médico,Branca,27/08/1949,68,Superior completo,"100000,00",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000011.jpg
AFONSO BANDEIRA FLORENCE,AFONSO FLORENCE,1301,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,82.661,"1,24",MASCULINO,Casado(a),Deputado,Parda,15/10/1960,57,Superior completo,"362623,37",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000132.jpg
ALICE MAZZUCO PORTUGAL,ALICE PORTUGAL,6522,PC do B,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,72.682,"1,09",FEMININO,Separado(a) judicialmente,Deputado,Parda,16/05/1959,58,Superior completo,"1148071,03",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000133.jpg
