idecadastro,Legislatura,Nome,Nome Parlamentar,Profissao,Situacao na Legislatura Atual,Sexo,UF,Partido
160566,55,NELSON PADOVANI,NELSON PADOVANI,Empresário,Suplência,M,PR,PSDB
74571,55,NELSON VICENTE PORTELA PELLEGRINO,NELSON PELLEGRINO,Advogado,Em Exercício,M,BA,PT
178896,55,NEWTON CARDOSO JUNIOR,NEWTON CARDOSO JR,-,Em Exercício,M,MG,MDB
166401,55,NILSON APARECIDO LEITÃO,NILSON LEITÃO,-,Em Exercício,M,MT,PSDB
74352,55,NILSON PINTO DE OLIVEIRA,NILSON PINTO,Geólogo,Em Exercício,M,PA,PSDB
178986,55,NILTO IGNACIO TATTO,NILTO TATTO,Administrador,Em Exercício,M,SP,PT
74359,55,NILTON BALBINO,NILTON CAPIXABA,Empresário,Em Exercício,M,RO,PTB
194260,55,NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO ALBUQUERQUE,-,Em Exercício,M,AL,PTB
66179,55,NORMA AYUB ALVES,NORMA AYUB,Servidor Público,Em Exercício,F,ES,DEM
178868,55,LUIZ ODORICO MONTEIRO DE ANDRADE,ODORICO MONTEIRO,Médico,Em Exercício,M,CE,PSB
74399,55,ONYX DORNELLES LORENZONI,ONYX LORENZONI,"Empresário, Médico Veterinário",Em Exercício,M,RS,DEM
178987,55,ORLANDO SILVA DE JESUS JUNIOR,ORLANDO SILVA,-,Em Exercício,M,SP,PCdoB
180545,55,OSMAR STUART BERTOLDI,OSMAR BERTOLDI,-,Em Exercício,M,PR,DEM
73463,55,OSMAR JOSÉ SERRAGLIO,OSMAR SERRAGLIO,"Advogado, Professor",Em Exercício,M,PR,PP
141515,55,OTAVIO SANTOS SILVA LEITE,OTAVIO LEITE,"Advogado, Professor",Em Exercício,M,RJ,PSDB
160556,55,JOÃO CARLOS SIQUEIRA,PADRE JOÃO,Padre,Em Exercício,M,MG,PT
74319,55,JOSÉ FRANCISCO PAES LANDIM,PAES LANDIM,"Advogado, Professor",Em Exercício,M,PI,PTB
160642,55,FRANCISCO EURICO DA SILVA,PASTOR EURICO,"Comunicador, Pastor",Em Exercício,M,PE,PATRI
193982,55,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,-,Suplência,M,BA,PRB
74160,55,PATRUS ANANIAS DE SOUSA,PATRUS ANANIAS,"Advogado, Professor, Servidor Público",Em Exercício,M,MG,PT
74095,55,PAUDERNEY TOMAZ AVELINO,PAUDERNEY AVELINO,"Engenheiro, Professor",Em Exercício,M,AM,DEM
171617,55,PAULO FERNANDO DOS SANTOS,PAULÃO,Eletricista,Em Exercício,M,AL,PT
141516,55,PAULO ABI-ACKEL,PAULO ABI-ACKEL,Advogado,Em Exercício,M,MG,PSDB
178860,55,PAULO VELLOSO DANTAS AZI,PAULO AZI,"Administrador, Engenheiro",Em Exercício,M,BA,DEM
74017,55,PAULO FERNANDO FEIJO TORRES,PAULO FEIJÓ,Engenheiro,Em Exercício,M,RJ,PR
160517,55,PAULO ROBERTO FOLETTO,PAULO FOLETTO,Médico,Em Exercício,M,ES,PSB
160558,55,PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE,Pastor,Em Exercício,M,SP,PR
141517,55,PAULO HENRIQUE ELLERY LUSTOSA DA COSTA,PAULO HENRIQUE LUSTOSA,"Administrador, Consultor",Suplência,M,CE,PP
74574,55,PAULO SÉRGIO PARANHOS DE MAGALHÃES,PAULO MAGALHÃES,Administrador,Em Exercício,M,BA,PSD
132056,55,PAULO SALIM MALUF,PAULO MALUF,"Empresário, Empresário, Engenheiro",Afastado,M,SP,PP
193726,55,PAULO EDUARDO LIMA MARTINS,PAULO MARTINS,-,Suplência,M,PR,PSDB
141518,55,PAULO PEREIRA DA SILVA,PAULO PEREIRA DA SILVA,"Administrador, Metalúrgico, Sindicalista",Em Exercício,M,SP,SD
74400,55,PAULO ROBERTO SEVERO PIMENTA,PAULO PIMENTA,"Jornalista, Profissional técnico",Em Exercício,M,RS,PT
141488,55,LUIZ PAULO TEIXEIRA FERREIRA,PAULO TEIXEIRA,Advogado,Em Exercício,M,SP,PT
74812,55,PEDRO PINHEIRO CHAVES,PEDRO CHAVES,Engenheiro,Em Exercício,M,GO,MDB
178912,55,PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,Advogado,Em Exercício,M,PB,PSDB
74449,55,PEDRO FERNANDES RIBEIRO,PEDRO FERNANDES,"Bancário, Engenheiro",Em Exercício,M,MA,PTB
122158,55,PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,Economista,Em Exercício,M,RJ,DEM
160604,55,PEDRO FRANCISCO UCZAI,PEDRO UCZAI,Professor,Em Exercício,M,SC,PT
178844,55,PEDRO TORRES BRANDÃO VILELA,PEDRO VILELA,-,Em Exercício,M,AL,PSDB
141445,55,GILBERTO JOSÉ SPIER VARGAS,PEPE VARGAS,Médico,Em Exercício,M,RS,PT
195997,55,POLLYANA FATIMA GAMA SANTOS,POLLYANA GAMA,-,Suplência,F,SP,PPS
73486,55,DARCI POMPEO DE MATTOS,POMPEO DE MATTOS,"Advogado, Bancário",Em Exercício,M,RS,PDT
160601,55,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,"Conferencista, Empresário, Pastor",Em Exercício,M,SP,PODE
148134,55,VICTORIO GALLI FILHO,PROFESSOR VICTÓRIO GALLI,Professor,Em Exercício,M,MT,PSL
160639,55,MARIA AUXILIADORA SEABRA REZENDE,PROFESSORA DORINHA SEABRA REZENDE,Professor,Em Exercício,F,TO,DEM
160641,55,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PROFESSORA MARCIVANIA,"Professor, Servidor Público",Em Exercício,F,AP,PCdoB
178951,55,RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,Engenheiro,Em Exercício,M,RN,PSB
74216,55,RAIMUNDO GOMES DE MATOS,RAIMUNDO GOMES DE MATOS,Médico,Em Exercício,M,CE,PSDB
178998,55,TANIA RAQUEL DE QUEIROZ MUNIZ,RAQUEL MUNIZ,"Médico, Professor",Em Exercício,F,MG,PSD
74161,55,REGINALDO LÁZARO DE OLIVEIRA LOPES,REGINALDO LOPES,Economista,Em Exercício,M,MG,PT
73786,55,REINHOLD STEPHANES,REINHOLD STEPHANES,"Economista, Professor",Em Exercício,M,PR,PSD
178960,55,REMIDIO MONAI MONTESSI,REMÍDIO MONAI,-,Em Exercício,M,RR,PR
178989,55,RENATA HELLMEISTER DE ABREU,RENATA ABREU,"Advogado, Empresário",Licenciado,F,SP,PODE
171620,55,RENATO BARBOSA DE ANDRADE,RENATO ANDRADE,"Agropecuarista, Empresário",Em Exercício,M,MG,PP
141527,55,RENATO DELMAR MOLLING,RENATO MOLLING,"Administrador, Industriário, Professor",Em Exercício,M,RS,PP
160654,55,RENZO DO AMARAL BRAZ,RENZO BRAZ,Administrador,Em Exercício,M,MG,PP
195581,55,RICARDO ANTONIO BUAINAIN DIAS,RICARDO BENTINHO,-,Suplência,M,SP,PRB
160655,55,RICARDO IZAR JUNIOR,RICARDO IZAR,"Economista, Empresário",Em Exercício,M,SP,PP
178920,55,RICARDO TEOBALDO CAVALCANTI,RICARDO TEOBALDO,-,Em Exercício,M,PE,PODE
141472,55,JOSÉ RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,Advogado,Em Exercício,M,SP,PSDB
152610,55,BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,Gestor Público,Em Exercício,M,SP,PRB
73674,55,ROBERTO EGÍDIO BALESTRA,ROBERTO BALESTRA,"Advogado, Agropecuarista, Empresário",Em Exercício,M,GO,PP
141529,55,ROBERTO PEREIRA DE BRITTO,ROBERTO BRITTO,Professor,Em Exercício,M,BA,PP
160653,55,ROBERTO ALVES DE LUCENA,ROBERTO DE LUCENA,"Conferencista, Escritor, Pastor",Em Exercício,M,SP,PODE
73805,55,ROBERTO JOÃO PEREIRA FREIRE,ROBERTO FREIRE,Advogado,Suplência,M,SP,PPS
178995,55,ANTONIO ROBERTO RODRIGUES GÓES DA SILVA,ROBERTO GÓES,Administrador,Licenciado,M,AP,PDT
178944,55,ROBERTO DA SILVA SALES,ROBERTO SALES,"Administrador, Corretor",Em Exercício,M,RJ,DEM
91208,55,ROBINSON SANTOS ALMEIDA,ROBINSON ALMEIDA,-,Suplência,M,BA,PT
178840,55,WHERLES FERNANDES DA ROCHA,ROCHA,"Jornalista, Policial",Em Exercício,M,AC,PSDB
141532,55,RODRIGO SANTOS DA ROCHA LOURES,ROCHA LOURES,Administrador,Suplência,M,PR,MDB
141531,55,RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,"Administrador, Advogado",Em Exercício,M,MG,PSDB
74693,55,RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RODRIGO MAIA,Bancário,Em Exercício,M,RJ,DEM
178926,55,RODRIGO RODRIGUES DE SOUZA MARTINS,RODRIGO MARTINS,Dentista,Em Exercício,M,PI,PSB
178897,55,RODRIGO OTAVIO SOARES PACHECO,RODRIGO PACHECO,Advogado,Em Exercício,M,MG,DEM
141535,55,ROGÉRIO SIMONETTI MARINHO,ROGÉRIO MARINHO,"Administrador, Administrador, Assessor, Economista, Empregado Público, Professor",Em Exercício,M,RN,PSDB
160651,55,ROGÉRIO MENDONÇA,ROGÉRIO PENINHA MENDONÇA,Engenheiro,Em Exercício,M,SC,MDB
160426,55,ROGÉRIO SCHUMANN ROSSO,ROGÉRIO ROSSO,"Advogado, Músico",Licenciado,M,DF,PSD
